CMDLINE C:\Users\Honor\AppData\Local\Programs\Python\Python312\python.exe script.py -q
MEM 1.863281 1754391489.1867
MEM 17.304688 1754391489.2878
MEM 25.375000 1754391489.3888
MEM 31.496094 1754391489.4899
MEM 36.531250 1754391489.5909
MEM 42.925781 1754391489.6919
MEM 47.855469 1754391489.7930
MEM 52.742188 1754391489.8940
MEM 62.082031 1754391489.9950
MEM 69.937500 1754391490.0954
MEM 75.875000 1754391490.1959
MEM 81.691406 1754391490.2969
MEM 84.699219 1754391490.3974
MEM 85.019531 1754391490.4984
MEM 87.746094 1754391490.5990
MEM 87.753906 1754391490.6996
MEM 87.855469 1754391490.8006
MEM 87.859375 1754391490.9011
MEM 88.003906 1754391491.0021
MEM 88.003906 1754391491.1026
MEM 88.066406 1754391491.2036
MEM 88.066406 1754391491.3041
MEM 88.191406 1754391491.4046
MEM 88.191406 1754391491.5053
MEM 88.191406 1754391491.6059
MEM 90.429688 1754391491.7069
MEM 88.257812 1754391491.8079
MEM 90.554688 1754391491.9090
MEM 88.382812 1754391492.0100
MEM 88.609375 1754391492.1110
MEM 88.507812 1754391492.2113
MEM 88.570312 1754391492.3116
MEM 88.570312 1754391492.4127
MEM 88.570312 1754391492.5133
MEM 88.695312 1754391492.6143
MEM 88.695312 1754391492.7149
MEM 88.757812 1754391492.8158
MEM 88.757812 1754391492.9165
MEM 88.882812 1754391493.0176
MEM 88.882812 1754391493.1185
MEM 88.945312 1754391493.2192
MEM 88.945312 1754391493.3203
MEM 88.945312 1754391493.4212
MEM 89.070312 1754391493.5219
MEM 91.050781 1754391493.6229
MEM 89.195312 1754391493.7235
MEM 89.195312 1754391493.8245
MEM 89.257812 1754391493.9249
MEM 91.234375 1754391494.0258
MEM 89.382812 1754391494.1264
MEM 89.382812 1754391494.2274
MEM 89.382812 1754391494.3284
MEM 89.445312 1754391494.4299
MEM 89.445312 1754391494.5305
MEM 89.570312 1754391494.6315
MEM 89.570312 1754391494.7325
MEM 89.632812 1754391494.8335
MEM 89.632812 1754391494.9345
MEM 89.757812 1754391495.0355
MEM 90.351562 1754391495.1365
MEM 89.882812 1754391495.2375
