CMDLINE C:\Users\Honor\AppData\Local\Programs\Python\Python312\python.exe script.py
MEM 1.730469 1754384538.0957
MEM 17.156250 1754384538.1963
MEM 24.988281 1754384538.2972
MEM 30.996094 1754384538.3975
MEM 35.769531 1754384538.4982
MEM 40.894531 1754384538.5991
MEM 47.226562 1754384538.7001
MEM 50.964844 1754384538.8006
MEM 57.320312 1754384538.9011
MEM 67.117188 1754384539.0022
MEM 72.261719 1754384539.1025
MEM 79.039062 1754384539.2036
MEM 83.167969 1754384539.3048
MEM 88.585938 1754384539.4055
MEM 90.378906 1754384539.5065
MEM 90.339844 1754384539.6070
MEM 90.527344 1754384539.7081
MEM 89.558594 1754384539.8091
MEM 89.054688 1754384539.9097
MEM 89.933594 1754384540.0104
MEM 89.343750 1754384540.1109
MEM 89.546875 1754384540.2113
MEM 90.421875 1754384540.3117
MEM 91.074219 1754384540.4125
MEM 90.234375 1754384540.5133
MEM 92.789062 1754384540.6144
MEM 93.234375 1754384540.7150
MEM 92.699219 1754384540.8161
MEM 93.082031 1754384540.9168
MEM 93.531250 1754384541.0171
MEM 93.781250 1754384541.1176
MEM 94.164062 1754384541.2186
MEM 94.277344 1754384541.3195
MEM 94.464844 1754384541.4200
MEM 94.816406 1754384541.5210
MEM 93.984375 1754384541.6220
MEM 95.351562 1754384541.7225
MEM 94.058594 1754384541.8232
MEM 95.457031 1754384541.9243
MEM 96.039062 1754384542.0246
MEM 95.328125 1754384542.1249
MEM 94.699219 1754384542.2255
MEM 95.246094 1754384542.3261
MEM 95.578125 1754384542.4267
MEM 97.164062 1754384542.5273
MEM 95.617188 1754384542.6276
MEM 97.601562 1754384542.7286
MEM 96.601562 1754384542.8294
MEM 96.621094 1754384542.9301
MEM 98.289062 1754384543.0306
MEM 98.796875 1754384543.1318
MEM 97.453125 1754384543.2330
MEM 98.976562 1754384543.3340
MEM 98.894531 1754384543.4343
MEM 99.476562 1754384543.5348
MEM 99.664062 1754384543.6356
MEM 99.386719 1754384543.7360
MEM 99.769531 1754384543.8369
MEM 100.281250 1754384543.9379
MEM 100.468750 1754384544.0381
MEM 100.214844 1754384544.1392
MEM 101.164062 1754384544.2399
MEM 99.199219 1754384544.3409
MEM 101.300781 1754384544.4415
MEM 101.683594 1754384544.5422
MEM 101.050781 1754384544.6432
MEM 101.812500 1754384544.7440
MEM 102.144531 1754384544.8451
MEM 102.136719 1754384544.9459
MEM 102.617188 1754384545.0468
MEM 103.027344 1754384545.1477
MEM 101.332031 1754384545.2488
MEM 103.578125 1754384545.3491
MEM 102.375000 1754384545.4495
MEM 103.324219 1754384545.5506
MEM 104.414062 1754384545.6517
MEM 104.488281 1754384545.7526
MEM 104.789062 1754384545.8534
MEM 104.949219 1754384545.9542
MEM 105.289062 1754384546.0554
MEM 104.816406 1754384546.1565
MEM 105.789062 1754384546.2578
MEM 104.019531 1754384546.3584
MEM 104.812500 1754384546.4596
MEM 106.476562 1754384546.5607
MEM 105.496094 1754384546.6612
MEM 105.433594 1754384546.7615
MEM 107.042969 1754384546.8619
MEM 107.351562 1754384546.9624
MEM 106.996094 1754384547.0635
MEM 106.160156 1754384547.1645
MEM 108.359375 1754384547.2656
MEM 107.093750 1754384547.3666
MEM 107.625000 1754384547.4674
MEM 108.652344 1754384547.5680
MEM 109.234375 1754384547.6692
MEM 108.832031 1754384547.7697
MEM 109.144531 1754384547.8704
MEM 109.332031 1754384547.9714
MEM 109.976562 1754384548.0727
MEM 108.054688 1754384548.1738
MEM 108.687500 1754384548.2748
MEM 110.464844 1754384548.3754
MEM 110.269531 1754384548.4758
MEM 109.406250 1754384548.5765
MEM 109.167969 1754384548.6776
MEM 111.406250 1754384548.7783
MEM 110.273438 1754384548.8788
MEM 110.558594 1754384548.9798
MEM 112.289062 1754384549.0804
MEM 112.343750 1754384549.1814
MEM 111.640625 1754384549.2824
MEM 112.222656 1754384549.3831
MEM 111.445312 1754384549.4834
MEM 113.019531 1754384549.5844
MEM 113.464844 1754384549.6847
MEM 113.652344 1754384549.7859
MEM 112.191406 1754384549.8866
MEM 114.242188 1754384549.9875
MEM 113.578125 1754384550.0885
MEM 117.109375 1754384550.1889
MEM 119.832031 1754384550.2899
MEM 88.925781 1754384550.3910
MEM 72.667969 1754384550.4977
